Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-05-07,73.32388305664062,73.6690955962119,72.8966015934725,73.1983559121912,115215200
2020-05-08,75.06912994384766,75.1223827731926,73.65551811313698,73.98229650289032,133838400
2020-05-11,76.2503662109375,76.74415709638575,74.36957888241814,74.57775171164975,145946400
2020-05-12,75.37896728515625,77.38319884408511,75.25793879153254,76.93296900656856,162301200
2020-05-13,74.46882629394531,76.4779036027934,73.39409274246334,75.55808267285332,200622400
2020-05-14,74.92632293701172,74.98683718466037,72.98744407851115,73.70877656980059,158929200
2020-05-15,74.48336029052734,74.52935171327063,72.6679327201148,72.70182424718615,166348400
2020-05-18,76.23827362060547,76.61104348348049,75.11513293810333,75.80499689236754,135178400
2020-05-19,75.79774475097656,77.10000541594032,75.76627615398213,76.25522871352638,101729600
2020-05-20,77.2718276977539,77.34201888089427,76.61584817289278,76.65457816375839,111504800
2020-05-21,76.69575500488281,77.67366726497515,76.4585365069764,77.13387754437865,102688800
2020-05-22,77.1895523071289,77.27185079219365,76.33266854723075,76.43432834001963,81803200
2020-05-26,76.66670227050781,78.48454498542678,76.6110265113562,78.3054252019707,125522000
2020-05-27,77.00077819824219,77.14601393123353,75.78565425244034,76.52393281723121,112945200
2020-05-28,77.03462982177734,78.29090607267398,76.4004417495467,76.67638285095582,133560800
2020-05-29,76.95960998535156,77.736610955793,76.60378586836536,77.2767040924692,153532400
2020-06-01,77.90605926513672,78.02708778430363,76.78291106151043,76.91362393056917,80791200
2020-06-02,78.2667007446289,78.29090791932163,77.19922860751555,77.63977407114822,87642800
2020-06-03,78.69757080078125,78.9589964979716,78.0149682866651,78.58622664893751,104491200
2020-06-04,78.01978302001953,78.81856784791002,77.64701331974175,78.52084258385524,87560400
2020-06-05,80.24188232421875,80.30239656428226,78.24007392223491,78.26911957554665,137250400
2020-06-08,80.71631622314453,80.75020774515244,79.23009024878114,79.93931540745123,95654400
2020-06-09,83.26517486572266,83.65730597576551,80.36533708864444,80.3968056767083,147712400
2020-06-10,85.40739440917969,85.8745626649843,83.77350959383725,84.2116321903992,166651600
2020-06-11,81.30694580078125,84.97653085136815,81.20528599627451,84.55293109627195,201662400
2020-06-12,82.0088882446289,84.18740070270101,80.90027071068629,83.44186857843707,200146000
2020-06-15,83.02310943603516,83.67424321088224,80.5032957450343,80.66547714891838,138808800
2020-06-16,85.22342681884766,85.4945368687229,83.4418908130573,85.07335265810912,165428800
2020-06-17,85.10479736328125,86.02703369979835,84.9837688951085,85.96651946571197,114406400
2020-06-18,85.13871765136719,85.55505601805591,84.53115217198582,85.06125763268233,96820400
2020-06-19,84.65216827392578,86.30783714893171,83.54596609025744,85.8430918789263,264476000
2020-06-22,86.86699676513672,87.0098095125726,84.99831637895207,85.04430780115948,135445200
2020-06-23,88.72113800048828,90.1371727058119,87.6899729783668,88.1087341820106,212155600
2020-06-24,87.155029296875,89.26818923809188,86.78225950639512,88.35079128217394,192623200
2020-06-25,88.31207275390625,88.35080275936323,86.55232106785238,87.30996064055707,137522400
2020-06-26,85.5986099243164,88.42825657527817,85.45095132716905,88.20798383985682,205256800
2020-06-29,87.57135009765625,87.66575583992166,85.02975249931492,85.50660491562621,130646000
2020-06-30,88.3023681640625,88.58800096545747,87.1404978146636,87.15985911945725,140223200
2020-07-01,88.1353759765625,88.92206127344404,88.08696900587378,88.37985592496987,110737200
2020-07-02,88.1353759765625,89.67486242954287,88.02161627129679,89.04067423366814,114041600
2020-07-06,90.49299621582031,90.96016437699369,89.5296068531223,89.56107543992535,118655600
2020-07-07,90.21222686767578,91.64762315168353,90.10088271239697,90.87062222466152,112424400
2020-07-08,92.31327056884766,92.34473915860562,91.10056271828748,91.18770707353977,117092000
2020-07-09,92.71025085449219,93.25729463316677,91.66456287634601,93.20404179945581,125642800
2020-07-10,92.8724136352539,92.93051232943125,91.69602034280251,92.30600122922262,90257200
2020-07-13,92.4439697265625,96.77921054368312,92.2309584307968,94.17467542417103,191649200
2020-07-14,93.97380065917969,94.1650203886337,90.89483503243176,91.82674866099546,170989200
2020-07-15,94.62008666992188,96.09421302015997,93.42432441242931,95.84489458759741,153198000
2020-07-16,93.45576477050781,94.31022548870118,92.8578838224014,93.49449476804814,110577600
2020-07-17,93.2669677734375,94.06091431617955,92.79495374103925,93.90600170117715,92186800
2020-07-20,95.23246765136719,95.37044189094031,93.01038653957822,93.35411067179673,90318000
2020-07-21,93.9181137084961,96.09662665534265,93.66879530005893,96.02158957813295,103433200
2020-07-22,94.18193817138672,94.86211761268852,93.53322731563136,93.620364272229,89001600
2020-07-23,89.8951187133789,93.99314144318696,89.08664931990235,93.91568143989768,197004400
2020-07-24,89.67243957519531,90.01616378626149,86.31268703007238,88.0966534330444,185438800
2020-07-27,91.79767608642578,91.88965891007823,90.50993871626743,90.73262697532834,121214000
2020-07-28,90.28968048095703,91.54595685387366,90.28483461346657,91.36925259131361,103625600
2020-07-29,92.02037811279297,92.20434377285328,90.73505619988047,90.7713632677891,90329200
2020-07-30,93.13385009765625,93.23793283077006,90.7883172670131,91.1949712384762,158130000
2020-07-31,102.88389587402344,103.03397001244983,97.62157236005555,99.61612680199143,374336800
2020-08-03,105.47633361816406,108.09054616095987,104.4645371706777,104.76226254133908,308151200
2020-08-04,106.18070220947266,107.26995848073891,104.94378735797679,105.66511972582127,173071600
2020-08-05,106.56558990478516,106.88510690463526,105.43760344433963,105.90235611566642,121776800
2020-08-06,110.28357696533203,110.77737527223312,106.30900549573542,106.89720218347466,202428800
2020-08-07,107.77621459960938,110.26177241107233,106.98083639595373,109.80588355038324,198045600
2020-08-10,109.3426742553711,110.35872195526468,106.69707099338436,109.21900028225699,212403600
2020-08-11,106.09086608886719,109.10505737675727,105.83139636601508,108.60794885006547,187902400
2020-08-12,109.6167221069336,109.87376452711321,106.98566715289093,107.17965891895842,165598000
2020-08-13,111.55668640136719,112.55818551229297,110.50668564136352,110.99409983343942,210082000
2020-08-14,111.45724487304688,111.54696624880587,109.65066604650143,111.3820725095563,165565200
2020-08-17,111.16624450683594,112.60180865121056,110.54061480830164,112.57755783182,119561600
2020-08-18,112.09259033203125,112.51695384329368,110.58428087027461,110.91892299463439,105633600
2020-08-19,112.23323822021484,113.64455185030188,112.1386696245519,112.49998249055456,145538000
2020-08-20,114.7236328125,114.83760501028006,112.25747159683876,112.27444791147464,126907200
2020-08-21,120.63562774658203,121.1181872782855,115.66935990258521,115.68148161330981,338054800
2020-08-24,122.07846069335938,124.91806397068724,120.2161130032418,124.83318239328597,345937600
2020-08-25,121.07695770263672,121.42130160395935,119.35768029886763,120.95329109467639,211495600
2020-08-26,122.72348022460938,123.17936898693925,121.32671591454528,122.39126546065715,163022400
2020-08-27,121.25640869140625,123.65709200762272,120.11425938434616,123.32487721481381,155552400
2020-08-28,121.05998992919922,122.64589153107447,120.83689273182479,122.22880256231407,187630000
2020-08-31,125.16541290283203,127.06656806710367,122.21669905690888,123.7492594402055,225702700
2020-09-01,130.15106201171875,130.75245576113278,126.61066398001222,128.7737011544299,151948100
2020-09-02,127.45454406738281,133.8369730802814,123.186665513161,133.45868391206912,200119000
2020-09-03,117.25041198730469,124.97140134269283,116.8818246649217,123.09935930505591,257599600
